http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_01_(n),MATH100,December_2011,1 (n),1,86,2,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_02_(a),MATH100,December_2011,2 (a),0,None,1,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_02_(b),MATH100,December_2011,2 (b),0,None,1,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_03_(a),MATH100,December_2011,3 (a),0,None,1,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_03_(b),MATH100,December_2011,3 (b),0,None,1,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_04_(a),MATH100,December_2011,4 (a),0,None,1,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_04_(b),MATH100,December_2011,4 (b),0,None,0,0
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_05_(a),MATH100,December_2011,5 (a),1,83,1,2
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_05_(b),MATH100,December_2011,5 (b),1,100,1,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_05_(c),MATH100,December_2011,5 (c),0,None,1,2
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_05_(d),MATH100,December_2011,5 (d),0,None,1,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_05_(e),MATH100,December_2011,5 (e),0,None,1,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_06,MATH100,December_2011,6,0,None,2,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_07,MATH100,December_2011,7,0,None,3,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_08,MATH100,December_2011,8,0,None,2,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_01_(a),MATH100,December_2010,1 (a),0,None,2,2
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_01_(b),MATH100,December_2010,1 (b),1,77,2,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_01_(c),MATH100,December_2010,1 (c),0,None,1,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_01_(d),MATH100,December_2010,1 (d),0,None,2,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_01_(e),MATH100,December_2010,1 (e),1,97,2,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_01_(f),MATH100,December_2010,1 (f),0,None,2,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_01_(g),MATH100,December_2010,1 (g),0,None,1,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_01_(h),MATH100,December_2010,1 (h),0,None,3,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_01_(i),MATH100,December_2010,1 (i),0,None,2,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_01_(j),MATH100,December_2010,1 (j),0,None,1,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_01_(k),MATH100,December_2010,1 (k),0,None,3,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_01_(l),MATH100,December_2010,1 (l),0,None,2,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_01_(m),MATH100,December_2010,1 (m),0,None,1,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_01_(n),MATH100,December_2010,1 (n),2,80,1,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_02_(a),MATH100,December_2010,2 (a),0,None,1,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_02_(b),MATH100,December_2010,2 (b),0,None,3,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_02_(c),MATH100,December_2010,2 (c),0,None,1,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_03,MATH100,December_2010,3,0,None,1,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_04_(a),MATH100,December_2010,4 (a),1,69,1,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_04_(b),MATH100,December_2010,4 (b),0,None,1,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_04_(c),MATH100,December_2010,4 (c),0,None,1,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_04_(d),MATH100,December_2010,4 (d),0,None,1,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_04_(e),MATH100,December_2010,4 (e),0,None,1,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_05,MATH100,December_2010,5,0,None,2,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_06,MATH100,December_2010,6,0,None,2,2
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_07,MATH100,December_2010,7,0,None,1,2
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2010/Question_08,MATH100,December_2010,8,1,11,2,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_01_(a),MATH101,April_2013,1 (a),20,83,1,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_01_(b),MATH101,April_2013,1 (b),14,91,1,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_01_(c),MATH101,April_2013,1 (c),16,76,2,1
http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_02_(a),MATH101,April_2013,2 (a),18,55,4,2
